,Predictions,Ground Truths
2005-05-27,-0.26368655066203206,-0.3634757237525401
2005-06-03,-0.35353434165331965,-0.2477580556736137
2005-06-10,-0.21362483955643793,-0.0367793062594743
2005-06-17,0.011625740670668704,0.1127306115091572
2005-06-24,0.15161303422727795,0.2064208803251548
2005-07-01,0.17941959794111023,0.2068554527022529
2005-07-08,0.11820447383703087,0.1181805480932088
2005-07-15,0.015593611553740443,-0.1323768045125583
2005-07-22,-0.22018146006585115,-0.262172847439072
2005-07-29,-0.3007700780143138,-0.413861156865579
2005-08-05,-0.40466110638504255,-0.5994889488897184
2005-08-12,-0.5712286190398145,-0.5109910680021854
2005-08-19,-0.46674921204444947,-0.2934654744941178
2005-08-26,-0.21089648354314194,-0.2004278030973339
2005-09-02,-0.14418872330976928,0.0094081969193404
2005-09-09,0.022450030458376333,-0.0140769731054143
2005-09-16,-0.0684100462759611,-0.1509224789948783
2005-09-23,-0.24583679759970778,0.1309950527766968
2005-09-30,0.12568252449231568,0.0955050478459569
2005-10-07,0.11814786320828322,0.0586918080282187
2005-10-14,0.014726355395316193,0.0896942832655537
2005-10-21,0.026141251660921808,-0.3437018098330519
2005-10-28,-0.42451503913610483,-0.3940547557695072
2005-11-04,-0.42922439687541125,-0.3640420076214473
2005-11-11,-0.3152461586157489,-0.301149764556679
2005-11-18,-0.18546017683921467,-0.2579305601001038
2005-11-25,-0.18429758416997766,-0.2946342049215643
2005-12-02,-0.2675346757836211,-0.4209620628485513
2005-12-09,-0.3960959731285954,-0.5298830867479521
2005-12-16,-0.4689345885141322,-0.363023769761226
2005-12-23,-0.31351221247220273,-0.2476263903475735
2005-12-30,-0.17076439954440562,-0.2379941042610544
2006-01-06,-0.21963477692770808,-0.0789266715922267
2006-01-13,-0.09134256258179316,-0.263832177183882
2006-01-20,-0.30991464461951335,-0.4546985618555886
2006-01-27,-0.4995130420875158,-0.4270909471841428
2006-02-03,-0.4164974216182694,-0.5527444655138306
2006-02-10,-0.46247999385294736,-0.4722868290014073
2006-02-17,-0.386312392474275,-0.5073720053557303
2006-02-24,-0.39888238844753765,-0.4144675755366244
2006-03-03,-0.3193511122631256,-0.2862886759977517
2006-03-10,-0.19507722493302834,-0.2420195628390757
2006-03-17,-0.17367311966284116,-0.1506241338437106
2006-03-24,-0.11049976542972487,-0.1496602693474938
2006-03-31,-0.13223841639958628,-0.2878340645777342
2006-04-07,-0.2797715761399248,-0.4636973297556054
2006-04-14,-0.44937378643073583,-0.5988359057334792
2006-04-21,-0.5772281699934056,-0.7339670005222765
2006-04-28,-0.6670053671642092,-0.8062703096019491
2006-05-05,-0.7165332543963658,-0.5829242216976909
2006-05-12,-0.4852405089240218,-0.3089189764823363
2006-05-19,-0.19342454058231756,-0.207273784488406
2006-05-26,-0.09967542015623948,-0.1436343244528284
2006-06-02,-0.18098359014751278,-0.2352847737605536
